START,,,,,,,,,,
4,11,,,,,,,,,
5.0000 ,6.6667 ,10.0000 ,20.0000 ,,,,,,,
0.00 ,0.05 ,0.10 ,0.15 ,0.20 ,0.25 ,0.30 ,0.35 ,0.40 ,0.45 ,0.50 
1.000 ,1.000 ,1.000 ,1.000 ,,,,,,,
1.049 ,1.053 ,1.062 ,1.090 ,,,,,,,
1.138 ,1.152 ,1.178 ,1.256 ,,,,,,,
1.257 ,1.283 ,1.330 ,1.477 ,,,,,,,
1.404 ,1.446 ,1.520 ,1.751 ,,,,,,,
1.585 ,1.644 ,1.752 ,2.086 ,,,,,,,
1.805 ,1.887 ,2.036 ,2.495 ,,,,,,,
2.076 ,2.186 ,2.384 ,2.997 ,,,,,,,
2.410 ,2.555 ,2.815 ,3.619 ,,,,,,,
2.825 ,3.012 ,3.349 ,4.389 ,,,,,,,
3.341 ,3.580 ,4.012 ,5.346 ,,,,,,,
END,,,,,,,,,,
START,,,,,,,,,,
4,11,,,,,,,,,
5.0000 ,6.6667 ,10.0000 ,20.0000 ,,,,,,,
0.00 ,0.05 ,0.10 ,0.15 ,0.20 ,0.25 ,0.30 ,0.35 ,0.40 ,0.45 ,0.50 
0.957 ,0.929 ,0.888 ,0.862 ,,,,,,,
0.688 ,0.662 ,0.623 ,0.554 ,,,,,,,
0.531 ,0.502 ,0.459 ,0.386 ,,,,,,,
0.419 ,0.393 ,0.356 ,0.297 ,,,,,,,
0.344 ,0.322 ,0.285 ,0.249 ,,,,,,,
0.287 ,0.272 ,0.252 ,0.220 ,,,,,,,
0.246 ,0.237 ,0.223 ,0.200 ,,,,,,,
0.216 ,0.210 ,0.202 ,0.182 ,,,,,,,
0.189 ,0.188 ,0.181 ,0.166 ,,,,,,,
0.165 ,0.165 ,0.163 ,0.148 ,,,,,,,
0.138 ,0.141 ,0.141 ,0.128 ,,,,,,,
END,,,,,,,,,,
START,,,,,,,,,,
4,11,,,,,,,,,
5.0000 ,6.6667 ,10.0000 ,20.0000 ,,,,,,,
0.00 ,0.05 ,0.10 ,0.15 ,0.20 ,0.25 ,0.30 ,0.35 ,0.40 ,0.45 ,0.50 
1.000 ,1.000 ,1.000 ,1.000 ,,,,,,,
1.042 ,1.046 ,1.054 ,1.078 ,,,,,,,
1.118 ,1.130 ,1.152 ,1.220 ,,,,,,,
1.218 ,1.240 ,1.280 ,1.405 ,,,,,,,
1.337 ,1.371 ,1.443 ,1.625 ,,,,,,,
1.473 ,1.522 ,1.609 ,1.879 ,,,,,,,
1.627 ,1.691 ,1.807 ,2.165 ,,,,,,,
1.799 ,1.881 ,2.028 ,2.484 ,,,,,,,
1.990 ,2.091 ,2.274 ,2.838 ,,,,,,,
2.201 ,2.324 ,2.546 ,3.230 ,,,,,,,
